TTL,precise_time,approx_time
0.0,0,0
-6143.8125,1657310549,2023-10-30T17:35:34.340
-6143.8125,1657316533,2023-10-30T17:35:34.346
-6143.8125,1657322676,2023-10-30T17:35:34.352
-6143.8125,1657328747,2023-10-30T17:35:34.358
-6143.8125,1657334740,2023-10-30T17:35:34.364
-6143.8125,1657340933,2023-10-30T17:35:34.370
-6143.8125,1657347011,2023-10-30T17:35:34.377
-6143.8125,1657353243,2023-10-30T17:35:34.383
-6143.8125,1657360008,2023-10-30T17:35:34.390
-6143.8125,1657366218,2023-10-30T17:35:34.396
-6143.8125,1657372423,2023-10-30T17:35:34.402
-6143.8125,1657378462,2023-10-30T17:35:34.408
-6143.8125,1657385465,2023-10-30T17:35:34.415
-6143.8125,1657391541,2023-10-30T17:35:34.421
-6143.8125,1657397461,2023-10-30T17:35:34.427
-6143.8125,1657403725,2023-10-30T17:35:34.434
-6143.8125,1657410277,2023-10-30T17:35:34.440
-6143.8125,1657416102,2023-10-30T17:35:34.446
-6143.8125,1657421934,2023-10-30T17:35:34.451
-6143.8125,1657427591,2023-10-30T17:35:34.457
-6143.8125,1657432995,2023-10-30T17:35:34.462
-6143.8125,1657438402,2023-10-30T17:35:34.468
-6143.8125,1657443856,2023-10-30T17:35:34.473
-6143.8125,1657449279,2023-10-30T17:35:34.479
-6143.8125,1657454704,2023-10-30T17:35:34.484
-6143.8125,1657460104,2023-10-30T17:35:34.490
-6143.8125,1657465526,2023-10-30T17:35:34.495
-6143.8125,1657470933,2023-10-30T17:35:34.500
-6143.8125,1657476312,2023-10-30T17:35:34.506
-6143.8125,1657481731,2023-10-30T17:35:34.511
-6143.8125,1657487143,2023-10-30T17:35:34.517
-6143.8125,1657492556,2023-10-30T17:35:34.522
-6143.8125,1657497937,2023-10-30T17:35:34.527
-6143.8125,1657503370,2023-10-30T17:35:34.533
-6143.8125,1657508771,2023-10-30T17:35:34.538
-6143.8125,1657514143,2023-10-30T17:35:34.544
-6143.8125,1657519519,2023-10-30T17:35:34.549
-6143.8125,1657524965,2023-10-30T17:35:34.554
-6143.8125,1657530374,2023-10-30T17:35:34.560
-6143.8125,1657535748,2023-10-30T17:35:34.565
-6143.8125,1657541113,2023-10-30T17:35:34.571
-6143.8125,1657546530,2023-10-30T17:35:34.576
-6143.8125,1657551977,2023-10-30T17:35:34.581
-6143.8125,1657557378,2023-10-30T17:35:34.587
-6143.8125,1657562806,2023-10-30T17:35:34.592
-6143.8125,1657568218,2023-10-30T17:35:34.598
-6143.8125,1657573701,2023-10-30T17:35:34.603
